Vertical,Organization Name,Website,Careers Page,Contact Page,Apply Email,Info Email,HR Email,Source URL,Country,Notes,Custom Requirement,Resume to Send,Candidate Email,Application Status
Finance/FinTech,SadaPay,https://sadapay.pk,https://sadapay.pk/careers,https://sadapay.pk/contact,hello@sadapay.pk,info@sadapay.pk,,https://sadapay.pk/careers,Pakistan,Digital banking / wallet startup (now part of Papara). [Prev. send: hr@ undeliverable. Status=Failed; Apply Email updated. Resend: set to Pending.],React + Node SaaS fintech; Stripe/payments exposure,Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Finance/FinTech,NayaPay,https://nayapay.com,https://nayapay.com/careers,https://nayapay.com/contact,careers@nayapay.com,support@nayapay.com,hr@nayapay.com,https://nayapay.com/careers,Pakistan,Digital wallet and payments platform.,Real-time wallet + MERN + UI/UX,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Finance/FinTech,JazzCash,https://www.jazzcash.com.pk,https://www.jazzcash.com.pk/careers,https://www.jazzcash.com.pk/contact-us/,careers@jazz.com.pk,info@jazz.com.pk,,https://www.jazzcash.com.pk/careers,Pakistan,Pakistan's largest mobile financial service. [Prev. send: hr@ undeliverable. Status=Failed; Apply Email updated. Resend: set to Pending.] For roles also use https://jobs.jazz.com.pk.,Large-scale fintech full-stack engineering,Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Finance/FinTech,Easypaisa,https://easypaisa.com.pk,https://easypaisa.com.pk/careers/,https://easypaisa.com.pk/contact-us/,info@easypaisa.com.pk,info@easypaisa.com.pk,,https://easypaisa.com.pk/careers/,Pakistan,Mobile payments and digital bank (Telenor Microfinance). [Prev. send: hr@ undeliverable. Status=Failed; Apply Email updated. Resend: set to Pending.] Many roles: easypaisa.com.pk/careers (portal).,Payments + real-time systems,Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Finance/FinTech,Finja,https://finja.pk,https://finja.pk/careers,https://finja.pk/contact,careers@finja.pk,info@finja.pk,hr@finja.pk,https://finja.pk/careers,Pakistan,SME lending and payments platform.,MERN + fintech; SaaS scale,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Finance/FinTech,Abhi,https://abhi.com.pk,https://abhi.com.pk/job-openings/,https://abhi.com.pk/contact-us/,careers@abhi.com.pk,info@abhi.com.pk,hr@abhi.com.pk,https://abhi.com.pk/job-openings/,Pakistan,Earned-wage-access fintech for employees.,Real-time transactions + SaaS dashboards,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Finance/FinTech,Oraan,https://www.oraan.com,https://www.oraan.com/careers,https://www.oraan.com/contact,support@oraan.com,support@oraan.com,,https://www.oraan.com/careers,Pakistan,Women-focused fintech (digital committees / savings). [Prev. send: hr@ undeliverable. Status=Failed; Apply Email updated. Resend: set to Pending.],"Mobile-first fintech UX, React Native / React",Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Finance/FinTech,Tag,https://tag.ag,https://tag.ag/careers,https://tag.ag/contact,careers@tag.ag,info@tag.ag,hr@tag.ag,https://tag.ag/careers,Pakistan,Digital banking and wallet startup.,Full-stack fintech product engineering,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Finance/FinTech,CreditBook,https://creditbook.pk,https://creditbook.pk/careers,https://creditbook.pk/contact,ali.hamdani@creditbook.pk,support@creditbook.pk,,https://creditbook.pk/careers,Pakistan,SME bookkeeping and credit app. Application contact: ali.hamdani@creditbook.pk (verified).,Scalable SaaS + mobile + payments,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Finance/FinTech,DBank,https://dbank.com.pk,https://dbank.com.pk/careers,https://dbank.com.pk/contact,,info@dbank.com.pk,,https://dbank.com.pk/careers,Pakistan,"Pakistan digital bank startup. careers@ not found / undeliverable; try info@, careers portal, or LinkedIn.",Fintech UI/UX + payments + MERN,Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Healthcare/HealthTech,Sehat Kahani,https://sehatkahani.com,https://sehatkahani.com/careers/,https://sehatkahani.com/contact-us/,recruitment@sehatkahani.com,support@sehatkahani.com,hr@sehatkahani.com,https://sehatkahani.com/careers/,Pakistan,Telemedicine platform connecting female doctors with patients.,HealthTech SaaS + real-time video + scheduling,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Healthcare/HealthTech,Marham,https://www.marham.pk,https://www.marham.pk/register/doctor,https://www.marham.pk/contact,,info@marham.pk,,https://www.marham.pk/register/doctor,Pakistan,"Online doctor appointments and health consultations. careers@ not found / undeliverable; try info@, careers portal, or LinkedIn.",Scheduling + payments + MERN,Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Healthcare/HealthTech,Shifa4U,https://www.shifa4u.com,https://www.shifa4u.com/physicianregistration,https://www.shifa4u.com/contact-us,,info@americantelephysicians.com,,https://www.shifa4u.com/physicianregistration,Pakistan,"Virtual healthcare and lab booking. careers@ not found / undeliverable; try info@, careers portal, or LinkedIn.",Telemedicine SaaS; React + Node,Usairam Saeed.pdf,saeed.usairam@gmail.com,Failed
Healthcare/HealthTech,oladoc,https://oladoc.com,https://oladoc.com/for-doctors,https://oladoc.com/contact,careers@oladoc.com,hello@oladoc.com,hr@oladoc.com,https://oladoc.com/for-doctors,Pakistan,Doctor booking and online consultation platform.,Appointment scheduling + UI/UX + MERN,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Healthcare/HealthTech,Healthwire,https://healthwire.pk,https://healthwire.pk/careers,https://healthwire.pk/contact-us,careers@healthwire.pk,hello@healthwire.pk,hr@healthwire.pk,https://healthwire.pk/careers,Pakistan,"Healthcare marketplace (doctors, labs, hospitals).",Full-stack product engineering for healthcare,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Healthcare/HealthTech,DoctHERs,https://docthers.com,https://docthers.com/careers,https://docthers.com/contact,careers@docthers.com,info@docthers.com,hr@docthers.com,https://docthers.com/careers,Pakistan,Female-doctor tele-health platform.,Telehealth UX + SaaS platform,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Healthcare/HealthTech,MedIQ,https://mediq.ai,https://mediq.ai/careers,https://mediq.ai/contact,careers@mediq.ai,info@mediq.ai,hr@mediq.ai,https://mediq.ai/careers,Pakistan,AI-enabled healthcare platform.,AI-integrated HealthTech SaaS,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
Healthcare/HealthTech,Dawaai,https://dawaai.pk,https://dawaai.pk/careers,https://dawaai.pk/contactus,careers@dawaai.pk,info@dawaai.pk,hr@dawaai.pk,https://dawaai.pk/careers,Pakistan,Online pharmacy and medicine delivery.,E-commerce + payments + real-time inventory,Usairam Saeed.pdf,saeed.usairam@gmail.com,Applied
